Stock,Author,Title,AskingPrice,Notes,ISBN,,,,,
1565,"Evanovich, Janet",hot six,17.24,"UK 1/1 HB, Headline 2000. Signed by Author to title page. VG/VG, light shelfwear",0333740262,,,,,
1566,"Evanovich, Janet",Seven up,7.24,"UK 1/1 HB, Headline 2001. VG/VG, light shelfwear and v slight lean",0747269564,,,,,
1567,"Evanovich, Janet",Hard eight,7.24,"UK 1/1 HB, Headline 2002. VG/VG, light shelfwear only",0747269572,,,,,
1568,"Evanovich, Janet",to the nines,7.24,"UK 1/1 HB, Headline 2003. F/VG, light wear to DJ edges",0747269580,,,,,
1580,"Evanovich, Janet",Four to score,12.24,"UK 1/1HB, Macmillan 1998. F/F, light shelfwear.",0333740246,,,,,
1582,"Evanovich, Janet",high five,9.24,"UK 1/1HB, Macmillan 1999. VG/VG, light wear and v slight lean",0333740254,,,,,
1595,"Evanovich, Janet",Three to get deadly,17.24,"UK 1/1 HB, Hamish Hamilton 1997. F/F, lightest of shelfwear and penguin stamp on based of page block",0241136563,,,,,
1601,"Evanovich, Janet",One for the money,17.24,"UK 1/1 PBO, Hamish Hamilton 1995. Debut novel, first in Stephanie Plum series. VG+ condition, v light wear to edges and spine.",0241134803,,,,,
1602,"Evanovich, Janet",Two for the dough,12.24,"UK 1/1 HB, Hamish Hamilton 1996. VG/VG condition. Light yellowing of pages, common to this age of Hamish Hamilton books, light rubbing to edges.",024113482x,,,,,
1581,"Evans, Liz",Sick as a parrot,12.24,"UK uncorrected proof copy, Orion 2004. Trade paperback format with pub details to rear of blue card covers. Fine condition",0752859811,,,,,
1604,"Evans, Liz",Barking,17.24,"UK uncorrected proof copy, Orion 2001. Trade paperback format with pub details to rear of orange card covers. Fine condition",0752825402,,,,,
968,"Fairstein, Linda",Final Jeopardy,25,"UK 1/1 HB, Little, Brown 1996.F/VG condition, DJ is pc, 3 v light creases to dj front edge - production fault. Debut novel",0316880086,,,,,
1129,"Fairstein, Linda",Final Jeopardy,25,"UK 1/1 HB, Little, Brown 1996.VG/VG condition, light wear only. Debut novel",0316880086,,,,,
1429,"Fairstein, Linda",Final Jeopardy,27.24,"UK 1/1 HB, Little Brown 1996. F/F, light handling wear only. ",0316880086,,,,,
1444,"Fairstein, Linda",Bad Blood,17.24,"UK Uncorrected Bound proof, Little Brown 2007. Trade paperback format as issued, Fine condition",9780316731737,,,,,
1362,"Fforde, Jasper",Shades of Grey,42.24,"UK 1/1 HB, Hodder and Stoughton 2010. Signed by author to title page, comes with postcard presented by author. Fine condition with no DJ as issued.",9780340963036,,,,,
1644,"Fforde, Jasper",Shades of Grey,22.2,"UK 1/1 HB, Hodder and Stoughton 2010. Signed by Author to title page. Fine condition without DJ as issued, new book",9780340963036,,,,,
1645,"Fforde, Jasper",Something Rotten,72.2,"UK 1/1 HB, Hodder and Stoughton 2004. Signed by Author to title page. F/F condition, new book. ",0340825979,,,,,
809,"Finder, Joseph",Company Man,27.24,"UK 1/1 HB, Orion 2005. Signed by Author to title page. VG/VG, light wear only.",075286887x,,,,,
1046,"Fletcher, Charlie",Stone Heart,97.24,"UK 1/1 Uncorrected Proof, Hodder Childrens 1996. Trade paperback format, card covers as issued. Three creases to spine, light wear to edges & covers. Scarce proof of debut novel.",034091162x,,,,,
143,"Fowler, Christopher",Personal Demons,9.99,"1st UK PBO, Serpents Tail, 1998. Signed by Christopher Fowler to title page. Fine condition.",1852425970,,,,,
813,"Fowler, Christopher",Bryant & May's mystery tour (Independent Magazine),25,"Independent on Sunday ABC magazine 02.07.06, features original Bryant & May short story. Fine condition.",n/a,,,,,
1561,"Fowler, Christopher",Roofworld,27.24,"UK pre pub pro of copy, Arrow 1989. Signed by Christopher Fowler to title page. Nr F condition, v light wear and single faint crease to spine. Black and white card covers as issued.",0099623404,,,,,
110,"French, Nicci",Killing Me Softly,25,"1st UK Limited Edition Uncorrected Advance Proof, Michael Joseph, 1999, VG. A few light creases to spine otherwise vg.",718143418,,,,,
163,"French, Nicci",The Red Room,12,"1st US Advanced Reading Copy. Warner Books / Mysterious Press 2001. well read - corners are creased etc but copy is very clean and could be flattened"" out in time.""",892967307,,,,,
676,"French, Nicci",Land of the Living,10,"UK 1/1 HB, Michael Joseph 2003.VG/VG condition, light rubbing & bumping.",0718145186,,,,,
434,"Gabaldon, Diana",Lord John and the Private Matter,14,"UK 1st HB edition, Century, 2003, F/F",1844131971,,,,,
105,"Gallagher, Stephen",Rain,14,"1st UK HB, NEL 1990, VG/VG. Light bumping to edges.",450524604,,,,,
395,"Gardner, Lisa",The Killing Hour,12,"Uncorrected Book Proof, Orion 2003. Trade Paperback, Fine.",752852264,,,,,
423,"Gardner, Lisa",The Killing Hour,9.99,"UK 1st HB edition, Orion, 2003, Fine/Fine",752852264,,,,,
1379,"Gardner, Lisa",The killing hour,7.24,"UK 1/1 HB, Orion 2003. VG/VG condition, light wear to edges. ",0752852264,,,,,
1395,"Gardner, Lisa",The Perfect Husband,7.24,"UK 1st OME, Oriel 1998. VG+ condition, v light creasing to spine and v slight lean. Good tidy copy",0752814397,,,,,
1430,"Gardner, Lisa",The Other Daughter,12.24,"USA Advance Readers edition, Bantam 1999. Trade paperback format. Fine condition.",0553576798,,,,,
1431,"Gardner, Lisa",The Third Victim,7.24,UK pre pub pro of copy. Orion 2001. VG condition in plain card covers as issued. Light wear to edges and single 1cm tear to rear cover edge.,0752841610,,,,,
1056,"Gash, Jonathan",The very last Gambado,17.24,"USA 1/1 HB, St Martin's Press 1990. VG/VG, light wear to edges only.",0312051751,,,,,
1742,"Gatiss, Mark",The Devil in amber,17.19,"UK 1/1 HB, Simon & Schuster 2006. Signed by Mark Gatiss to bookplate stuck to halftitle page. VG/VG condition, very light wear to DJ on top spine edge otherwise fine condition.�",9780743257091,,,,,
1202,"Gemmell, David",Stormrider,172.24,"UK 1/1 HB, Bantam Press 2002. Signed by Author to title page. Nr F/ Nr F, light rubbing to edges, signed by author sticker to front cover.",059304441x,,,,,
1003,"Gordon, Roderick & Williams, Brian",Tunnels  ,47.24,"1st UK 1/1PBO, Chicken House 2007. Signed by both authors with added doodle",9781905294428,,,,,
1032,"Gordon, Roderick & Williams, Brian",Tunnels  ,47.24,"1st UK 1/1PBO, Chicken House 2007. Signed by both authors with added doodle",9781905294428,,,,,
1220,"Gordon, Roderick & Williams, Brian",Tunnels 2: Deeper,37.24,"1st UK 1/1PBO, Chicken House 2008. Signed & dated by both authors with added doodle",9781905294626,,,,,
1289,"Gordon, Roderick & Williams, Brian",Tunnels,25,"UK 1/1 PBO, Chicken House 2007. Fine condition. Debut in hugely popular Tunnels series",9781905294428,,,,,
1293,"Gray, Alex",The Riverman,12.24,"UK Uncorrected Book proof, Sphere 2007. Fine condition. Trade paperback format with card covers as issued.",9781847440259,,,,,
176,"Hamilton, Laurell K",A Kiss of Shadows,6,"1st UK PBO, Bantam Press, 2001. VG. Three light reading creases to spine.",553813838,,,,,
226,"Hamilton, Laurell K",A Kiss of Shadows,5,"1st UK PBO, Bantam Press, 2001. VG. Light reading creases to spine.",553813838,,,,,
965,"Hamilton, Laurell K",Guilty Pleasures,19.99,"UK 1/1 PBO, NEL 1993. VG, light wear to edges, single crease to spine. Debut Anita Blake novel, original NEL issue.",0450595609,,,,,
966,"Hamilton, Laurell K",The Laughing Corpse,19.99,"UK 1/1 PBO, NEL 1994. VG, light wear to edges, single crease to spine & to cover edge. Sequel to Guilty Pleasures, original NEL issue.",450595617,,,,,
1001,"Hamilton, Laurell K",Guilty Pleasures,19.99,"UK 1/1 PBO, NEL 1993. VG, light wear to edges only. Debut Anita Blake novel, original NEL issue.",0450595609,,,,,
1029,"Hamilton, Laurell K",The Laughing Corpse,19.99,"UK 1/1 PBO, NEL 1994. VG, light wear to edges, single crease to spine. Sequel to Guilty Pleasures, original NEL issue.",0450595617,,,,,
1030,"Hamilton, Laurell K",The Laughing Corpse,19.99,"UK 1/1 PBO, NEL 1994. VG, light wear to edges, single crease to cover top edge. Sequel to Guilty Pleasures, original NEL issue.",0450595617,,,,,
1031,"Hamilton, Laurell K",Guilty Pleasures,19.99,"UK 1/1 PBO, NEL 1993. F, lightest of wear only. Anita Blake debut, original NEL issue.",0450595617,,,,,
1045,"Hamilton, Laurell K",Guilty Pleasures,19.99,"UK 1/1 PBO, NEL 1993. F, lightest of wear only. Anita Blake debut, original NEL issue.",0450595617,,,,,
1200,"Hamilton, Laurell K",Seduced by moonlight,17.24,"USA 1/1 HB, Ballantine 2004. VG/VG, light wear only. ",034544356x,,,,,
1201,"Hamilton, Laurell K",A caress of twilight,17.24,"USA 1/1 HB, Ballantine 2002. VG/VG, light wear only. ",0345435273,,,,,
1255,"Hamilton, Laurell K",A Kiss of Shadows,7.24,"1st UK PBO, Bantam Press, 2001. VG. Light reading creases to spine.",553813838,,,,,
1291,"Harkaway, Nick",The Gone-away world,47.24,"UK Uncorrected Book proof, Heinemann 2008. Fine condition, light handling wear only. Trade paperback format with card covers as issued.",9780434018420,,,,,
1298,"Harkaway, Nick",The Gone-away world,47.24,"UK Uncorrected Book proof, Heinemann 2008. Fine condition, light handling wear only. Trade paperback format with card covers as issued.",9780434018420,,,,,
20,"Harris, Thomas",Hannibal,14,"1st UK Hardback, Heinemann, 1999, VG/VG. Minor rubbing to top edge of dj.",434009407,,,,,
832,"Harris, Thomas",The silence of the lambs,19.99,"UK 1/1 HB, Heinemann 1989. VG/VG light wear. DJ is pc.",0434313467,,,,,
106,"Hayder, Mo",The Treatment,22.24,"1st UK HB, Bantam, 2001, Signed by author to title page. VG/VG. Light bumping and rubbing to edges.",593045424,,,,,
971,"Hayder, Mo",Pig Island,17.24,"UK 1/1 HB, Bantam 2006. VG/VG. Signed by author to title page. Light shelfwear only.",9780593049716,,,,,
1150,"Hayder, Mo",Birdman,22.24,"UK 1/1 HB. Bantam Press 2000. Signed by author to title page. VG/VG, Light wear to edges only.",0593045203,,,,,
220,"Henderson, Lauren",My Lurid Past,10,"1st UK PBO, TimeWarner, 2001, Fine ",751532614,,,,,
221,"Henderson, Lauren",My Lurid Past,10,"1st UK PBO, TimeWarner, 2001, Fine",751532614,,,,,
602,"Henderson, Lauren",My Lurid Past,3,"UK 1st edn PBO, Time Warner 2002. VG.",0751532614,,,,,
687,"Henderson, Lauren",The Strawberry Tattoo,7.25,"UK 1/1 Trade Paperback edn, Hutchinson 1999. Fine condition.",0091777984,,,,,
688,"Henderson, Lauren",Too many blondes,6.99,"UK 1st thus Trade Paperback edn, Hodder & Stoughton 1996. VG condition, spine lightly faded, otherwise Fine condition.",0340649178,,,,,
974,"Henderson, Lauren",Dead White Female,31.99,"UK 1st thus PB, Hodder & Stoughton 1996. Fine condition with very lightest of wear only. Scarce debut novel.",0340649151,,,,,
1252,"Henderson, Lauren",Jane Austen's guide to dating,17.24,"UK 1/1 HB, Headline 2005. F/F",075531462x,,,,,
19,"Herbert, James",The Ghosts of Sleath,37.24,"1st UK Hardback, Harper Collins 1994, VG/VG. Signed by Author to title page. Minor rubbing to top edge of dj.",2242869,,,,,
329,"Herbert, James",Haunted,47.24,"UK 1st edn HB, H&S 1988 VG/VG. Signedby Author to title page. DJ is priceclipped and a little bumped to edges.",340416165,,,,,
838,"Herbert, James",Sepulchre,97.2,"UK Uncorrected Proof, Hodder & Stoughton 1987. Signed by James Herbert to title page. Card covers as issued. VG, Light wear to edges.",0340394722,,,,,
843,"Herbert, James",The secret of Crickley Hall,40,"UK 1/1HB, Macmillan 2006. New Book, Signed by author to title page",1405005203,,,,,
1074,"Herbert, James",Portent,17.24,"UK 1/1 HB, Hodder & Stoughton 1992. F/F",0340509104,,,,,
1075,"Herbert, James",Haunted,12.24,"UK 1/1 HB, Hodder & Stoughton 1988. VG/VG, light wear to edges, DJ is pc.",0340416165,,,,,
1112,"Herbert, James",The secret of Crickley Hall,22.24,"UK 1/1 HB, Macmillan 2006. VG/VG light wear only. ",1405005203,,,,,
1638,"Herbert, James",Sepulchre,20,"UK 1/1 HB, Hodder and Stoughton 1987. Nr F / Nr F, light wear to DJ edges and v slight lean only.",0340394722,,,,,
725,"Hiaasen, Carl",Stormy Weather,12,"UK 1/1 HB,Macmillan 1996. VG/VG, rubbed & bumped to edges.",0333637747,,,,,
940,"Hiaasen, Carl",Stormy Weather,17.25,"UK 1/1 HB, Macmillan 1996. Vg/Vg, light wear to edges, DJ is pc.",0333637747,,,,,
1071,"Hiaasen, Carl",Hoot,12.24,"UK 1/1 PBO, Macmillan 2002. VG condition, paperback with french flaps as issued. Light wear only.",0330418092,,,,,
1319,"Higson, Charlie",Full Whack,12.19,"UK 1/1 HB, Hamish Hamilton 1996. Signed by Charlie Higson to title page. VG/VG condition. Light wear to edges of dj, small 0.5cm tear to back bottom dj edge. Stated as damaged on top of page block but no damage visible so not sure why marked as so.",0241002877,,,,,
1342,"Higson, Charlie",The Enemy,47.24,"UK 1/1 HB, Puffin 2009. Signed & Dated prepublication on 02.09.09 by Charlie Higson at London Launch event. Fine Condition. Comes with Enemy Sampler, bookmark and launch event flyer",9780141384641,,,,,
1343,"Higson, Charlie",The Enemy,47.24,"UK 1/1 HB, Puffin 2009. Signed & Dated prepublication on 02.09.09 by Charlie Higson at London Launch event. Fine Condition. Comes with Enemy Sampler, bookmark and launch event flyer",9780141384641,,,,,
1477,"Higson, Charlie",Monstroso,17.24,"UK 1/1 PBO, Puffin 2010. Signed by Charlie Higson to title page. Fine condition. Part of the Puffin Pocket money series, 120page novella for younger readers.",9780141328454,,,,,
1478,"Higson, Charlie",The Dead,27.24,"UK 1/1 HB, Puffin 2010. Signed by Charlie Higson and dated with publication date to title page. F/F, New book.",9780141384658,,,,,
1480,"Higson, Charlie",The Dead,20.24,"UK 1/1 HB, Puffin 2010. Signed by Charlie Higson to title page. F/F, New book.",9780141384658,,,,,
1481,"Higson, Charlie",The Dead,20.24,"UK 1/1 HB, Puffin 2010. Signed by Charlie Higson to title page. F/F, New book.",9780141384658,,,,,
1677,"Higson, Charlie",The Fear,27.19,"UK 1/1 HB, Puffin 2011. Signed by Charlie Higson to title page. Fine Condition, new book",9780141384665,,,,,
1726,"Higson, Charlie",The Sacrifice,47.19,"UK 1/1 HB, Puffin 2012. Signed by Charlie Higson to title page and dated pre-publication date. Fine condition hardcover issued without dustjacket, new book",9780141336121,,,,,
1727,"Higson, Charlie",The Sacrifice,47.19,"UK 1/1 HB, Puffin 2012. Signed by Charlie Higson to title page and dated pre-publication date. Fine condition hardcover issued without dustjacket, new book",9780141336121,,,,,
983,"Hill, Joe",Heart shaped box,50,"UK 1/1 HB, Gollancz 2007. Signed by Author in silver pen to Heart Shaped Box bookplate affixed to title page. F/F condition.",9780575079120,,,,,
1244,"Hill, Joe",Heart shaped box,42.24,UK 1/1 HB Gollancz 2007. F/F. Signed by author to title page with Heart doodle.,9780575079120,,,,,
1675,"Hill, Joe",Heart-Shaped Box,27.2,"UK pre pub pro of copy, Gollancz 2007. Trade paperback format with pub details to rear. VG condition with general wear to edges and corners. This copy was used as a review copy for the New Zealand market and has a publishers sticker to the fep. Interestin",9780575079120,,,,,
933,"Hoffman, Jilliane",Retribution,17.25,"UK Uncorrected proof, Michael Joseph, 2004. VG, light creasing to spine, eubbing to edges & v slight lean.",0718146743,,,,,
1433,"Hoffman, Jilliane",Retribution,27.24,"UK 1/1HB, Michael Joseph 2003. Signed by author to title page. F/F, new book.",0718146743,,,,,
1434,"Hoffman, Jilliane",Last Witness,9.99,"UK 1/1 HB, Michael Joseph 2005. Nr F / Nr F, light shelfwear only.",071814712x,,,,,
1425,"Holt, Tom",Odds and Gods,22.24,"UK 1/1 HB, Orbit 1995. Signed by Author to title page and dated 26/1/95. F/F, light shelfwear only and gentle page browning common with this publisher and age",1857232666,,,,,
1470,"Holt, Tom",Expecting someone taller,52.24,"UK 1/1 HB, MacMillan 1987. Nr F / Nr F, gentle wear to edges and hint of a lean on book. Nice bright copy of scarce title. ",0333440021,,,,,
1596,"Holt, Tom",Here comes the sun,37.24,"UK 1/1 HB, Orbit 1993. Nr F / Nr F, light shelfwear only.",1857231252,,,,,
1597,"Holt, Tom",Faust among equals,17.24,"UK 1/1 HB, Orbit 1994. VG/VG, light shelfwear only. ",185723197x,,,,,
1072,"Horowitz, Anthony",Eagle Strike,12.24,"UK 1/1 PBO, Walker Books 2003. VG condition, light wear to edges, single light crease to spine.",0744590574,,,,,
1120,"Horowitz, Anthony",Alex Rider: The Gadgets,10,"UK 1/1 HB, Walker Books 2005. F, no jacket as issued. Minor rubber mark to fep.",1844281167,,,,,
1160,"Horowitz, Anthony",Skeleton Key,12.24,"UK 1/1 PBO, Walker Books 2002. VG, light wear to edges, two slight creases to spine.",0744590078,,,,,
1193,"Horowitz, Anthony",Skeleton Key,12.24,"UK 1/1 PBO, Walker Books 2002. VG, light wear to edges, single crease to spine.",0744590078,,,,,
1254,"Horowitz, Anthony",Ark Angel,12.24,"UK 1/1 PBO, Walker 2005. VG condition, light spine creasing and wear to edges only.",0744583241,,,,,
1263,"Horowitz, Anthony",Eagle Strike,12.24,"UK 1/1 PBO, Walker 2003. Nr F condition",0744590574,,,,,
1316,"Horowitz, Anthony",Scorpia,5.24,"UK 1/1 PBO, Walker Books 2004. VG, creasing to cover and spine, tidy copy.",0744583233,,,,,
1328,"Horowitz, Anthony",Eagle Strike,12.24,"UK 1/1 PBO, Walker Books 2003. Nr Fine, light shelf wear only.",0744590574,,,,,
1329,"Horowitz, Anthony",Scorpia,7.24,"UK 1/1 PBO, Walker Books 2004. VG+, light shelf wear only.",0744583233,,,,,
1611,"Horowitz, Anthony",The killing joke,12.24,"UK 1/1 HB, Orion 2004. F/F condition, lightest shelfwear only",075285724x,,,,,
633,"Hutson, Shaun",The Terminator,17.24,"UK 1st edn PBO, Star 1984. VG. Rubbed to edges with minor creases to cover edges. Scare title, Hutson's novelisation of the Schwarzenegger movie was withdrawn due to a rights issue with the movie producers. ",0352316454,,,,,
646,"Hutson, Shaun",The Terminator,15,"UK 1st edn PBO, Star 1984. VG. Rubbed to edges with some creasing to cover edges. Name written on fep. Scare title, Hutson's novelisation of the Schwarzenegger movie was withdrawn due to a rights issue with the movie producers. ",0352316454,,,,,
1659,"Jardine, Quintin",Fallen Gods,17.2,"UK 1/1 HB, Headline 2003. Signed by author to title page. F/F condition, lightest shelfwear to edges only.�",0747274487,,,,,
1102,"Johnston, Paul",The Death List,12.24,"UK 1/1 PBO, Mira 2007. Signed by Author to title page. VG condition, v light creasing to spine only.",9780778301592,,,,,
1621,"Kerley, J A",Blood brother,4.24,"UK 1/1 PBO, Harper 2008. VG+ condition, light wear on spine",9780007269075,,,,,
1622,"Kerley, J A",Blood brother,7.24,"UK 1/1 PBO, Harper 2008. Fine condition",9780007269075,,,,,
598,"Kerley, Jack",The Hundredth Man,22.2,"UK Uncorrected proof, Harper Collins, 2004. Massmarket paperback format in card wraps as issued. F.",0007180586,,,,,
741,"Kerley, Jack",The Hundredth Man,22.2,"UK 1/1 HB, Harper Collins 2004.Signed publishers bookplate neatly affixed to title page. VG/VG",0007180586,,,,,
1162,"Kerley, Jack",The Hundredth Man,22.2,"UK Uncorrected proof, Harper Collins, 2004. Massmarket paperback format in card wraps as issued. F.",0007180586,,,,,
839,"Kernick, Simon",The Murder Exchange,27.24,"UK 1/1 HB, Bantam 2003. Signed by Author to title page. VG/VG. Light rubbing.",0593049799,,,,,
141,"Kerr, Philip",Gridiron,20,"UK 1st HB, Chatto & Windus, 1995, VG/VG. glassiline dj is a little bumped to top and bottom of spine with a couple of minor creases to flaps.",701162481,,,,,
1654,"Khoury, Raymond",The Sign,17.2,"UK Uncorrected proof copy, Orion 2009. Trade paperback format with pub details to rear of glossy card covers. Fine condition.",9780752875903,,,,,
111,"King, Stephen",The Green Mile 2: The Mouse on the Mile,6,"1st UK PBO, Penguin, 1996 VG. V Light rubbing otherwise fine.",140258574,,,,,
130,"King, Stephen",Black House Promo TShirt,75,"Promotional Tshirt issued for launch of King/Straub novel Black House"". White tshirt with black arms - front features bird logo and ""black house"" whilst rear features authors names in large type. Release date in white on sleeve. Unworn - size 44 (xl ?)""",,,,,,
136,"King, Stephen",Insomnia,14,"1st UK HB, Hodder & Stoughton, 1994, VG/VG. Light rubbing to edges.",340608455,,,,,
164,"King, Stephen",The Girl Who Loved Tom Gordon,10,"1st USA edn, HB, Scribner 1999. (VG/VG).",684867621,,,,,
172,"King, Stephen",The Green Mile 2: The Mouse on the Mile,6,1st UK PBO. Penguin 1996. (VG).,140258574,,,,,
173,"King, Stephen",The Green Mile 2: The Mouse on the Mile,5,1st UK PBO. Penguin 1996. (VG-). a couple of light creases to cover and light rubbing to spine edges. ,140258574,,,,,
181,"King, Stephen",Cycle of the Werewolf,14,"USA 1st Trade Paperback, Signet 1985. VG.  Tidy copy with a little leaching of the glue on inside back cover.",451821114,,,,,
182,"King, Stephen",The Dark Tower III: The Waste Lands,11,"USA 1st Trade Paperback edition Plume 1982. VG. Bumped to top and bottom of spine, page edges a little browned, otherwise very good.",452267404,,,,,
183,"King, Stephen",The Dark Half,13,"USA 1st Hb edn, Viking 1989, VG/VG. US edition features gold lettering on black cloth spine of book, SK"" blocked in gold on front cover. DJ is different to the UK edition. Book has black marker pen line to bottom of block.""",067082982x,,,,,
184,"King, Stephen",Four Past Midnight,14,"USA 1st HB edn, Viking 1990, VG/VG. Book features gold lettering on black cloth spine, and SK"" in gold on cover. DJ design is gold and black ""fracturing clock"" as on UK paperback edition. DJ is priceclipped.""",670835382,,,,,
185,"King, Stephen",Rose Madder,14,"USA 1st HB Edn, Viking 1995, VG/VG.  Book features red lettering to black cloth spine, with rose design in red on cover. DJ features brown paper wrapping on painting (different to UK design). ",670858692,,,,,
186,"King, Stephen",Desperation,14,"USA 1st HB Edn, Viking 1996, VG/VG. Book features red lettering on tan cloth spine with sky blue boards. Dj features artwork by Mark Ryden. ",670868361,,,,,
612,"King, Stephen",The Green Mile 5: Night Journey,1.5,"UK 1st Edn PBO, Penguin 1996 VG. Penguin stamps to base of page block.",0140258604,,,,,
761,"King, Stephen",Cell,97.24,"UK 1/1 HB, Hodder & Stoughton 2006. F/F, New Book. Comes with Ltd Edn Charm.",0340921447,,,,,
881,"King, Stephen",The Green Mile - Vol 1/6,14.99,"UK 1/1 PBO's - set of 6 vols first issued in UK as mini paperbacks. All Fine condition, Vol6 has light rubbing to edges & penguin stamps to rear of page block.",0140258566,,,,,
903,"King, Stephen",Lisey's Story,172.24,"UK 1/1HB, Hodder & Stoughton 2006, F/F. With Signed Lisey's Story bookplate supplied loose. Comes with limited edition metal bookmark that was exclusive giveaway at Waterstones.",0340898933,,,,,
936,"King, Stephen",Lisey's Story,97.24,"UK 1/1HB, Hodder & Stoughton 2006, F/F. With limited edition metal bookmark that was exclusive giveaway at Waterstones & Times newspaper supplement. F/F, v minor wear to base of spine only.",0340898933,,,,,
1314,"King, Stephen",Just After Sunset,97.24,"UK 1/1 Limited Collectors edition. Hodder & Stoughton 2008. Numbered 353 of 500, HB with no DJ as issued, presented in slipcase with DVD animation of short story called N from the book. Opened neatly to check condition and numbering",9780340919729,,,,,
1022,"Koontz, Dean",The Good Guy,147.24,"UK 1/1HB, Harper Collins 2007. Signed & dated by Dean Koontz using Longpen machine at UK launch event - Waterstones, Piccadilly 23.06.07. F/F, new book.",9780007226597,,,,,
1023,"Koontz, Dean",The Good Guy,147.24,"UK 1/1HB, Harper Collins 2007. Signed & dated by Dean Koontz using Longpen machine at UK launch event - Waterstones, Piccadilly 23.06.07. F/F, new book.",9780007226597,,,,,
516,"Lansdale, Joe R",Writer of the Purple Rage,25,"US 1st HB edn, Cemetary Dance, 1994, VG/VG.",1881475085,,,,,
31,"Laurie, Hugh",The Gun Seller,47.25,"1st UK Uncorrected Bound Proof, Heinemann 1996. Crease to front cover, edges rubbed.",434002976,,,,,
1037,"Laurie, Hugh",The Gun Seller,47.25,"UK 1/1 HB, Heinemann 1996. F/F, light wear only.",434002976,,,,,
47,"Laymon, Richard",The Cellar,12,"1st UK PBO, NEL 1980, Good. Rubbed to edges with a little creasing to front and rear. Binding tight.",,,,,,
49,"Laymon, Richard",Allhallows Eve,8,"1st UK PBO, NEL 1986, VG. Gold lettering to cover and spine. V slightly rubbed to edges but very good overall.",450395316,,,,,
24,"Le Carre, John",The Secret Pilgrim,12,"1st UK HB, Hodder & Stoughton, 1991, F/F",340543817,,,,,
64,"Le Carre, John",Single & Single,40,"1st UK HB, Hodder & Stoughton, 1999, VG/VG. Signed by John Le Carre on publishers bookplate stuck neatly on title page. v minor rubbing to edges of dj and book.",340738979,,,,,
66,"Le Carre, John",A Perfect Spy,10,"1st UK HB, Hodder & Stoughton, 1986, F/F. Two tone blue binding, DJ is price clipped, David Xmas 96 written neatly on FEP, otherwise fine.",034038784X,,,,,
852,"Leather, Stephen",Payoff,25,"UK 1/1 PBO, Fontana 1987. VG condition, light wear, single crease to spine",0006174361,,,,,
988,"Lehane, Dennis","Darkness, take my hand",17.24,"UK 1/1 PBO, Bantam 1997. Signed by Author to title page. VG condition, light wear to edges only.",055350584x,,,,,
1059,"Lehane, Dennis","Gone, Baby, Gone",17.24,"UK 1/1 PBO, Bantam 1998. Signed by Author to title page. VG condition, light wear to edges only. Small ""Heffers: Bodies in the Bookshop"" stamp to title page.",0553812203,,,,,
1167,"Lehane, Dennis",A drink before the war,22.24,"UK 1/1 PBO, Bantam Press 1995. Signed by Author to title page. Light creasing to spine and wear to cover & edges. Lehane's debut, original UK release.",0553503855,,,,,
1229,"Lehane, Dennis","Darkness, take my hand",27.24,"UK prepub book proof, Bantam Press 1997. Signed by Author to title page. VG condition in original card covers as issued, light wear to cover and spine. ",055350584x,,,,,
1680,"Lehane, Dennis",The Given Day,22.2,"UK pre publication proof copy, Doubleday 2009. Trade paperback format with pub details to rear. Nr Fine condition, light wear to edges only, no creasing to spine.",9780385615341,,,,,
1576,"Lennon, J Robert",Mailman,21.24,"UK 1/1 HB, Granta 2003. F/F, lightest shelfwear only",1862076251,,,,,
708,"Leon, Donna",Death in a strange country,250,"UK 1/1 HB, Chapmans 1993.Signed by author to title page. VG/VG, lightest of shelf wear only.",1855920948,,,,,
733,"Leon, Donna",Doctored Evidence,19.99,"UK 1/1HB, Heinemann, 2004. Signed by Author to title page. VG/VG, rubbing to edges of book & DJ.",0434010669,,,,,
771,"Leon, Donna",Through a glass darkly,20,"UK 1/1 HB, Heinemann 2006. Signed by author to title page F/F.",0434014524,,,,,
959,"Leon, Donna",The Death of Faith,147.24,"UK uncorrected proof, Macmillan 1997. VG condition, card covers as issued, light running and wear only.",0333673751,,,,,
981,"Leon, Donna",Suffer the little children,12.24,"UK uncorrected proof, Heinemann 2006. F, lightest of wear to edges only.",9780434016259,,,,,
1333,"Leon, Donna",Uniform Justice,22.24,"UK uncorrected proof copy, Heinemann 2003. Nr F condition, light wear only.",0434007951,,,,,
1418,"Lindqvist, John Ajvide",Handling the dead,12.24,"UK 1/1 PBO, Quercus 2009. VG condition in Trade paperback format. V light wear to spine and edges",9781847244130,,,,,
1479,"Lindsay, Jeff",Dexter by Design,22.2,"UK 1/1 HB, Orion 2009",9780752885179,,,,,
1647,"Lindsay, Jeff",Dexter in the dark,22.2,"UK 1/1 HB, Orion 2007. F/Nr F, lightest wear to edges.",9780752885094,,,,,
1373,"Litt, Toby",Beatniks,21.74,"UK 1/1 PBO, Secker and Warburg 1997. Signed by Toby Litt to title page. Fine condition. ",0436203715,,,,,
1569,"Little, Bentley",Houses,12.24,"UK 1/1 HB, Headline 1997. VG/VG, light shelfwear and slight lean only",0747216258,,,,,
1577,"Little, Bentley",Dark dominion,22.24,"UK 1/1HB, Headline 1995. F/F. ",0747208174,,,,,
